OAU State,Official Language,IMF SDRs,Date of Independence,Head of Central Bank,Capital,IMF #Votes,Name of Currency,dbo:capital,dbo:language,dbo:currency,Labels candidate,Candidate url state,Label
Angola,Portuguese,207.3,nov-75,Mario de Alcantara Monteiro,Luanda,2.323,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola, Delaware', 'angola, delaware', 'angola,_delaware', 'Angola,_Delaware']","http://dbpedia.org/resource/Angola,_Delaware",0
Angola,Portuguese,208.3,dic-75,Mario de Alcantara Monteiro,Luanda,2.324,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola', 'angola']",http://dbpedia.org/resource/Angola,1
Angola,Portuguese,209.3,gen-76,Mario de Alcantara Monteiro,Luanda,2.325,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Aeron utica_(Angola)', 'aeron utica (angola)', 'Aeron utica ( Angola)', 'aeron utica_(angola)', 'aeron utica ( angola)', 'Aeron utica (Angola)']",http://dbpedia.org/resource/Aeron utica_(Angola),0
Angola,Portuguese,210.3,feb-76,Mario de Alcantara Monteiro,Luanda,2.326,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['angola,_virginia', 'Angola,_Virginia', 'Angola, Virginia', 'angola, virginia']","http://dbpedia.org/resource/Angola,_Virginia",0
Angola,Portuguese,211.3,mar-76,Mario de Alcantara Monteiro,Luanda,2.327,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['angola-kenya relations', 'Angola-Kenya_relations', 'angola- kenya relations', 'angola-kenya_relations', 'Angola-Kenya relations', 'Angola- Kenya relations']",http://dbpedia.org/resource/Angola-Kenya_relations,0
Angola,Portuguese,212.3,apr-76,Mario de Alcantara Monteiro,Luanda,2.328,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['angola-india relations', 'Angola- India relations', 'angola-india_relations', 'Angola-India relations', 'Angola-India_relations', 'angola- india relations']",http://dbpedia.org/resource/Angola-India_relations,0
Angola,Portuguese,213.3,mag-76,Mario de Alcantara Monteiro,Luanda,2.329,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola-Mexico relations', 'angola-mexico relations', 'angola- mexico relations', 'Angola-Mexico_relations', 'angola-mexico_relations', 'Angola- Mexico relations']",http://dbpedia.org/resource/Angola-Mexico_relations,0
Angola,Portuguese,214.3,giu-76,Mario de Alcantara Monteiro,Luanda,2.330,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola- Israel relations', 'angola-israel relations', 'angola-israel_relations', 'Angola-Israel relations', 'Angola-Israel_relations', 'angola- israel relations']",http://dbpedia.org/resource/Angola-Israel_relations,0
Angola,Portuguese,215.3,lug-76,Mario de Alcantara Monteiro,Luanda,2.331,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Angola-China relations', 'angola- china relations', 'Angola- China relations', 'angola-china_relations', 'angola-china relations', 'Angola-China_relations']",http://dbpedia.org/resource/Angola-China_relations,0
Angola,Portuguese,216.3,ago-76,Mario de Alcantara Monteiro,Luanda,2.332,New Kwanza,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['angola- serbia relations', 'Angola- Serbia relations', 'angola-serbia relations', 'Angola-Serbia relations', 'Angola-Serbia_relations', 'angola-serbia_relations']",http://dbpedia.org/resource/Angola-Serbia_relations,0
Benin,French,45.3,ago-60,Moise Mensah,Porto-Novo,703,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Benin', 'benin']",http://dbpedia.org/resource/Benin,1
Benin,French,46.3,set-60,Moise Mensah,Porto-Novo,704,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['perma_(benin)', 'Perma (Benin)', 'perma ( benin)', 'Perma_(Benin)', 'Perma ( Benin)', 'perma (benin)']",http://dbpedia.org/resource/Perma_(Benin),0
Benin,French,47.3,ott-60,Moise Mensah,Porto-Novo,705,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Saint- Benin', 'saint-benin', 'saint- benin', 'Saint-Benin']",http://dbpedia.org/resource/Saint-Benin,0
Benin,French,48.3,nov-60,Moise Mensah,Porto-Novo,706,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Benin- Denmark relations', 'benin- denmark relations', 'benin-denmark_relations', 'Benin-Denmark_relations', 'Benin-Denmark relations', 'benin-denmark relations']",http://dbpedia.org/resource/Benin-Denmark_relations,0
Benin,French,49.3,dic-60,Moise Mensah,Porto-Novo,707,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['benin-kenya_relations', 'Benin- Kenya relations', 'Benin-Kenya relations', 'Benin-Kenya_relations', 'benin-kenya relations', 'benin- kenya relations']",http://dbpedia.org/resource/Benin-Kenya_relations,0
Benin,French,50.3,gen-61,Moise Mensah,Porto-Novo,708,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Benin-Haiti relations', 'benin-haiti relations', 'Benin-Haiti_relations', 'benin- haiti relations', 'benin-haiti_relations', 'Benin- Haiti relations']",http://dbpedia.org/resource/Benin-Haiti_relations,0
Benin,French,51.3,feb-61,Moise Mensah,Porto-Novo,709,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Benin- China relations', 'benin-china relations', 'benin-china_relations', 'benin- china relations', 'Benin-China relations', 'Benin-China_relations']",http://dbpedia.org/resource/Benin-China_relations,0
Benin,French,52.3,mar-61,Moise Mensah,Porto-Novo,710,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['benin-russia relations', 'Benin- Russia relations', 'benin- russia relations', 'Benin-Russia_relations', 'benin-russia_relations', 'Benin-Russia relations']",http://dbpedia.org/resource/Benin-Russia_relations,0
Benin,French,53.3,apr-61,Moise Mensah,Porto-Novo,711,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['benin-india relations', 'Benin- India relations', 'benin- india relations', 'Benin-India relations', 'benin-india_relations', 'Benin-India_relations']",http://dbpedia.org/resource/Benin-India_relations,0
Benin,French,54.3,mag-61,Moise Mensah,Porto-Novo,712,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['La Nation ( Benin)', 'La_Nation_(Benin)', 'La Nation (Benin)', 'la nation ( benin)', 'la nation (benin)', 'la_nation_(benin)']",http://dbpedia.org/resource/La_Nation_(Benin),0
Botswana,English,36.6,set-66,Balendzi Gaolathe,Gaborone,616,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Botswana', 'botswana']",http://dbpedia.org/resource/Botswana,1
Botswana,English,37.6,ott-66,Balendzi Gaolathe,Gaborone,617,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Pilane (Botswana)', 'Pilane_(Botswana)', 'pilane (botswana)', 'pilane_(botswana)', 'pilane ( botswana)', 'Pilane ( Botswana)']",http://dbpedia.org/resource/Pilane_(Botswana),0
Botswana,English,38.6,nov-66,Balendzi Gaolathe,Gaborone,618,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Botswana-Kenya_relations', 'Botswana- Kenya relations', 'botswana-kenya relations', 'Botswana-Kenya relations', 'botswana-kenya_relations', 'botswana- kenya relations']",http://dbpedia.org/resource/Botswana-Kenya_relations,0
Botswana,English,39.6,dic-66,Balendzi Gaolathe,Gaborone,619,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['capital_bank_(botswana)', 'capital bank ( botswana)', 'Capital Bank ( Botswana)', 'Capital_Bank_(Botswana)', 'capital bank (botswana)', 'Capital Bank (Botswana)']",http://dbpedia.org/resource/Capital_Bank_(Botswana),0
Botswana,English,40.6,gen-67,Balendzi Gaolathe,Gaborone,620,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['botswana-china_relations', 'botswana-china relations', 'Botswana-China relations', 'Botswana-China_relations', 'Botswana- China relations', 'botswana- china relations']",http://dbpedia.org/resource/Botswana-China_relations,0
Botswana,English,41.6,feb-67,Balendzi Gaolathe,Gaborone,621,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Botswana-Namibia relations', 'botswana- namibia relations', 'Botswana-Namibia_relations', 'botswana-namibia relations', 'botswana-namibia_relations', 'Botswana- Namibia relations']",http://dbpedia.org/resource/Botswana-Namibia_relations,0
Botswana,English,42.6,mar-67,Balendzi Gaolathe,Gaborone,622,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['botswana-russia relations', 'Botswana-Russia relations', 'Botswana- Russia relations', 'botswana- russia relations', 'botswana-russia_relations', 'Botswana-Russia_relations']",http://dbpedia.org/resource/Botswana-Russia_relations,0
Botswana,English,43.6,apr-67,Balendzi Gaolathe,Gaborone,623,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Independence Day ( Botswana)', 'independence day (botswana)', 'Independence_Day_(Botswana)', 'Independence Day (Botswana)', 'independence day ( botswana)', 'independence_day_(botswana)']",http://dbpedia.org/resource/Independence_Day_(Botswana),0
Botswana,English,44.6,mag-67,Balendzi Gaolathe,Gaborone,624,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Consumer Watchdog (Botswana)', 'Consumer_Watchdog_(Botswana)', 'consumer_watchdog_(botswana)', 'consumer watchdog (botswana)', 'Consumer Watchdog ( Botswana)', 'consumer watchdog ( botswana)']",http://dbpedia.org/resource/Consumer_Watchdog_(Botswana),0
Botswana,English,45.6,giu-67,Balendzi Gaolathe,Gaborone,625,Pula,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['southern district (botswana)', 'southern district ( botswana)', 'Southern District ( Botswana)', 'southern_district_(botswana)', 'Southern_District_(Botswana)', 'Southern District (Botswana)']",http://dbpedia.org/resource/Southern_District_(Botswana),0
Burkina Faso,French,44.2,ago-60,Tertius Zongo,Ouagadougou,696,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina_faso', 'Burkina_Faso', 'Burkina Faso', 'burkina faso']",http://dbpedia.org/resource/Burkina_Faso,1
Burkina Faso,French,45.2,set-60,Tertius Zongo,Ouagadougou,697,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina_Faso-Canada_relations', 'burkina_faso-canada_relations', 'Burkina Faso- Canada relations', 'burkina faso- canada relations', 'Burkina Faso-Canada relations', 'burkina faso-canada relations']",http://dbpedia.org/resource/Burkina_Faso-Canada_relations,0
Burkina Faso,French,46.2,ott-60,Tertius Zongo,Ouagadougou,698,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina Faso-Denmark relations', 'burkina faso- denmark relations', 'burkina_faso-denmark_relations', 'Burkina Faso- Denmark relations', 'burkina faso-denmark relations', 'Burkina_Faso-Denmark_relations']",http://dbpedia.org/resource/Burkina_Faso-Denmark_relations,0
Burkina Faso,French,47.2,nov-60,Tertius Zongo,Ouagadougou,699,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina_Faso-Libya_relations', 'burkina_faso-libya_relations', 'Burkina Faso-Libya relations', 'burkina faso- libya relations', 'Burkina Faso- Libya relations', 'burkina faso-libya relations']",http://dbpedia.org/resource/Burkina_Faso-Libya_relations,0
Burkina Faso,French,48.2,dic-60,Tertius Zongo,Ouagadougou,700,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina Faso-Russia relations', 'burkina_faso-russia_relations', 'Burkina Faso- Russia relations', 'burkina faso- russia relations', 'burkina faso-russia relations', 'Burkina_Faso-Russia_relations']",http://dbpedia.org/resource/Burkina_Faso-Russia_relations,0
Burkina Faso,French,49.2,gen-61,Tertius Zongo,Ouagadougou,701,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['National Gendarmerie (Burkina Faso)', 'National_Gendarmerie_(Burkina_Faso)', 'national gendarmerie ( burkina faso)', 'national_gendarmerie_(burkina_faso)', 'national gendarmerie (burkina faso)', 'National Gendarmerie ( Burkina Faso)']",http://dbpedia.org/resource/National_Gendarmerie_(Burkina_Faso),0
Burkina Faso,French,50.2,feb-61,Tertius Zongo,Ouagadougou,702,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina faso-sweden relations', 'Burkina_Faso-Sweden_relations', 'Burkina Faso- Sweden relations', 'burkina_faso-sweden_relations', 'Burkina Faso-Sweden relations', 'burkina faso- sweden relations']",http://dbpedia.org/resource/Burkina_Faso-Sweden_relations,0
Burkina Faso,French,51.2,mar-61,Tertius Zongo,Ouagadougou,703,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina Faso- Palestine relations', 'Burkina_Faso-Palestine_relations', 'burkina faso-palestine relations', 'burkina_faso-palestine_relations', 'burkina faso- palestine relations', 'Burkina Faso-Palestine relations']",http://dbpedia.org/resource/Burkina_Faso-Palestine_relations,0
Burkina Faso,French,52.2,apr-61,Tertius Zongo,Ouagadougou,704,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Le Pays ( Burkina Faso)', 'Le_Pays_(Burkina_Faso)', 'le_pays_(burkina_faso)', 'Le Pays (Burkina Faso)', 'le pays (burkina faso)', 'le pays ( burkina faso)']",http://dbpedia.org/resource/Le_Pays_(Burkina_Faso),0
Burkina Faso,French,53.2,mag-61,Tertius Zongo,Ouagadougou,705,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['ranga,_burkina_faso', 'Ranga, Burkina Faso', 'Ranga,_Burkina_Faso', 'ranga, burkina faso']","http://dbpedia.org/resource/Ranga,_Burkina_Faso",0
Burkina Faso,French,54.2,giu-61,Tertius Zongo,Ouagadougou,706,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['samo language ( burkina)', 'Samo language (Burkina)', 'Samo language ( Burkina)', 'Samo_language_(Burkina)', 'samo language (burkina)', 'samo_language_(burkina)']",http://dbpedia.org/resource/Samo_language_(Burkina),0
Burkina Faso,French,55.2,lug-61,Tertius Zongo,Ouagadougou,707,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina_airlines', 'Burkina Airlines', 'Burkina_Airlines', 'burkina airlines']",http://dbpedia.org/resource/Burkina_Airlines,0
Burkina Faso,French,56.2,ago-61,Tertius Zongo,Ouagadougou,708,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina_24', 'Burkina 24', 'Burkina_24', 'burkina 24']",http://dbpedia.org/resource/Burkina_24,0
Burkina Faso,French,57.2,set-61,Tertius Zongo,Ouagadougou,709,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina_faso', 'Burkina_Faso', 'Burkina Faso', 'burkina faso']",http://dbpedia.org/resource/Burkina_Faso,0
Burkina Faso,French,58.2,ott-61,Tertius Zongo,Ouagadougou,710,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['air burkina', 'Air_Burkina', 'air_burkina', 'Air Burkina']",http://dbpedia.org/resource/Air_Burkina,0
Burkina Faso,French,59.2,nov-61,Tertius Zongo,Ouagadougou,711,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina electric', 'Burkina Electric', 'burkina_electric', 'Burkina_Electric']",http://dbpedia.org/resource/Burkina_Electric,0
Burkina Faso,French,60.2,dic-61,Tertius Zongo,Ouagadougou,712,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['greens_of_burkina', 'greens of burkina', 'Greens_of_Burkina', 'Greens of Burkina']",http://dbpedia.org/resource/Greens_of_Burkina,0
Burkina Faso,French,61.2,gen-62,Tertius Zongo,Ouagadougou,713,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burkina sign language', 'Burkina Sign Language', 'Burkina_Sign_Language', 'burkina_sign_language']",http://dbpedia.org/resource/Burkina_Sign_Language,0
Burkina Faso,French,62.2,feb-62,Tertius Zongo,Ouagadougou,714,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina_Faso-Canada_relations', 'burkina_faso-canada_relations', 'Burkina Faso- Canada relations', 'burkina faso- canada relations', 'Burkina Faso-Canada relations', 'burkina faso-canada relations']",http://dbpedia.org/resource/Burkina_Faso-Canada_relations,0
Burkina Faso,French,63.2,mar-62,Tertius Zongo,Ouagadougou,715,CFA franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burkina Faso-Denmark relations', 'burkina faso- denmark relations', 'burkina_faso-denmark_relations', 'Burkina Faso- Denmark relations', 'burkina faso-denmark relations', 'Burkina_Faso-Denmark_relations']",http://dbpedia.org/resource/Burkina_Faso-Denmark_relations,0
Burundi,Rundi,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burundi', 'burundi']",http://dbpedia.org/resource/Burundi,1
Burundi,Rundi,58.2,ago-62,Mathias Sinamenye,Bujumbura,823,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi-tanzania_relations', 'burundi- tanzania relations', 'burundi-tanzania relations', 'Burundi-Tanzania_relations', 'Burundi- Tanzania relations', 'Burundi-Tanzania relations']",http://dbpedia.org/resource/Burundi-Tanzania_relations,0
Burundi,Rundi,59.2,set-62,Mathias Sinamenye,Bujumbura,824,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi-china relations', 'Burundi- China relations', 'Burundi-China_relations', 'Burundi-China relations', 'burundi-china_relations', 'burundi- china relations']",http://dbpedia.org/resource/Burundi-China_relations,0
Burundi,Rundi,60.2,ott-62,Mathias Sinamenye,Bujumbura,825,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi- kenya relations', 'Burundi-Kenya_relations', 'burundi-kenya_relations', 'Burundi-Kenya relations', 'Burundi- Kenya relations', 'burundi-kenya relations']",http://dbpedia.org/resource/Burundi-Kenya_relations,0
Burundi,Rundi,61.2,nov-62,Mathias Sinamenye,Bujumbura,826,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['senate_(burundi)', 'Senate ( Burundi)', 'senate (burundi)', 'Senate (Burundi)', 'Senate_(Burundi)', 'senate ( burundi)']",http://dbpedia.org/resource/Senate_(Burundi),0
Burundi,Rundi,62.2,dic-62,Mathias Sinamenye,Bujumbura,827,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['liberal_party_(burundi)', 'Liberal Party (Burundi)', 'Liberal Party ( Burundi)', 'liberal party (burundi)', 'Liberal_Party_(Burundi)', 'liberal party ( burundi)']",http://dbpedia.org/resource/Liberal_Party_(Burundi),0
Burundi,Rundi,63.2,gen-63,Mathias Sinamenye,Bujumbura,828,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"[""people's_party_(burundi)"", ""People's Party (Burundi)"", ""People's Party ( Burundi)"", ""people's party (burundi)"", ""People's_Party_(Burundi)"", ""people's party ( burundi)""]",http://dbpedia.org/resource/People's_Party_(Burundi),0
Burundi,Rundi,64.2,feb-63,Mathias Sinamenye,Bujumbura,829,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['titi,_burundi', 'Titi,_Burundi', 'Titi, Burundi', 'titi, burundi']","http://dbpedia.org/resource/Titi,_Burundi",0
Burundi,Rundi,65.2,mar-63,Mathias Sinamenye,Bujumbura,830,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"[""King's School (Burundi)"", ""king's school ( burundi)"", ""King's_School_(Burundi)"", ""king's_school_(burundi)"", ""king's school (burundi)"", ""King's School ( Burundi)""]",http://dbpedia.org/resource/King's_School_(Burundi),0
Burundi,Rundi,66.2,apr-63,Mathias Sinamenye,Bujumbura,831,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Ruhwa,_Burundi', 'ruhwa, burundi', 'ruhwa,_burundi', 'Ruhwa, Burundi']","http://dbpedia.org/resource/Ruhwa,_Burundi",0
Burundi,French,57.2,lug-62,Mathias Sinamenye,Bujumbura,822,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['Burundi', 'burundi']",http://dbpedia.org/resource/Burundi,1
Burundi,French,58.2,ago-62,Mathias Sinamenye,Bujumbura,823,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi-tanzania_relations', 'burundi- tanzania relations', 'burundi-tanzania relations', 'Burundi-Tanzania_relations', 'Burundi- Tanzania relations', 'Burundi-Tanzania relations']",http://dbpedia.org/resource/Burundi-Tanzania_relations,0
Burundi,French,59.2,set-62,Mathias Sinamenye,Bujumbura,824,Brundi franc,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/language,http://dbpedia.org/ontology/currency,"['burundi-china relations', 'Burundi- China relations', 'Burundi-China_relations', 'Burundi-China relations', 'burundi-china_relations', 'burundi- china relations']",http://dbpedia.org/resource/Burundi-China_relations,0
